,GSM1684096,GSM1684098,GSM1684100,GSM1684102,GSM1684104,GSM1684095,GSM1684097,GSM1684099,GSM1684101,GSM1684103
GSM1684096,0.9999999999999998,0.9619118393912209,0.9376093516954771,0.949658414580005,0.9568270786699737,0.9351267923505154,0.8940563246904846,0.8784777738674134,0.8821997287813,0.9035219599274681
GSM1684098,0.9619118393912208,0.9999999999999998,0.9745295232606505,0.9738996543668809,0.9489934178734215,0.9253382986415715,0.9393927949572932,0.8978180555213515,0.915365669986437,0.8995334125151567
GSM1684100,0.9376093516954771,0.9745295232606505,0.9999999999999998,0.9726948306718702,0.9343312964850086,0.9183783830033564,0.9505459664596392,0.9301545842685716,0.9421222606806484,0.9061740373776922
GSM1684102,0.949658414580005,0.9738996543668809,0.9726948306718701,0.9999999999999998,0.9517720045494998,0.9132139240967687,0.9283063724655685,0.8967619902851643,0.9294580632956754,0.9033335812458415
GSM1684104,0.9568270786699737,0.9489934178734215,0.9343312964850086,0.9517720045494998,1.0,0.9188936790859997,0.9018354182062205,0.8838695314733922,0.8983732873626246,0.943617566911307
GSM1684095,0.9351267923505155,0.9253382986415715,0.9183783830033563,0.9132139240967688,0.9188936790859998,0.9999999999999998,0.9580290928180202,0.9437255730443682,0.944120104934519,0.9574084125392504
GSM1684097,0.8940563246904847,0.9393927949572932,0.9505459664596392,0.9283063724655685,0.9018354182062205,0.9580290928180202,1.0,0.9736236839145501,0.9808717241322958,0.9527409158617206
GSM1684099,0.8784777738674132,0.8978180555213514,0.9301545842685716,0.8967619902851643,0.8838695314733923,0.9437255730443682,0.9736236839145501,1.0,0.9728955903866845,0.9550714933562525
GSM1684101,0.8821997287813002,0.915365669986437,0.9421222606806485,0.9294580632956754,0.8983732873626247,0.9441201049345189,0.980871724132296,0.9728955903866845,1.0,0.9536746586367767
GSM1684103,0.9035219599274682,0.8995334125151568,0.9061740373776922,0.9033335812458416,0.943617566911307,0.9574084125392504,0.9527409158617208,0.9550714933562526,0.9536746586367767,0.9999999999999998
