,GSM1684096,GSM1684098,GSM1684100,GSM1684102,GSM1684104,GSM1684095,GSM1684097,GSM1684099,GSM1684101,GSM1684103
GSM1684096,0.9999999999999999,0.8270720223216764,0.8219572211032631,0.7710967376569516,0.7904767204446969,0.8405429572509169,0.8065202988278711,0.7996277312059433,0.7411286701588962,0.7726790972897357
GSM1684098,0.8270720223216764,1.0,0.8330264021245054,0.7858160260546214,0.8002528193716674,0.8234603281546513,0.8205041143113401,0.8079456167200467,0.7598153465852688,0.7844799836007093
GSM1684100,0.821957221103263,0.8330264021245054,1.0,0.8019482368241561,0.8130539347151016,0.822130515063403,0.8257917125148403,0.8323702680551639,0.7830138827757961,0.7983096740973525
GSM1684102,0.7710967376569517,0.7858160260546214,0.8019482368241562,1.0,0.8045853856235532,0.7811394091479642,0.785014608755239,0.7795137860457766,0.7858542813770878,0.7835463601440615
GSM1684104,0.7904767204446967,0.8002528193716674,0.8130539347151016,0.8045853856235532,0.9999999999999999,0.7971897057706889,0.799571093409109,0.7934990180199565,0.7799258494449403,0.8057775700202655
GSM1684095,0.840542957250917,0.8234603281546513,0.822130515063403,0.7811394091479642,0.7971897057706889,0.9999999999999999,0.8304330822853291,0.8260835152770442,0.774566062294539,0.8024125487657431
GSM1684097,0.8065202988278711,0.82050411431134,0.8257917125148403,0.785014608755239,0.7995710934091091,0.8304330822853291,1.0,0.8356647268219729,0.7887780040502498,0.8078685984064969
GSM1684099,0.7996277312059433,0.8079456167200467,0.8323702680551639,0.7795137860457766,0.7934990180199565,0.8260835152770442,0.8356647268219729,1.0,0.7920230822213674,0.8130927942660032
GSM1684101,0.7411286701588962,0.7598153465852688,0.7830138827757961,0.7858542813770878,0.7799258494449401,0.774566062294539,0.7887780040502499,0.7920230822213675,1.0,0.7873312455574331
GSM1684103,0.7726790972897357,0.7844799836007093,0.7983096740973525,0.7835463601440615,0.8057775700202655,0.8024125487657431,0.8078685984064968,0.8130927942660032,0.787331245557433,0.9999999999999999
